Naive,RandomizeUpdate,Randomize,KMP,Boyer-Mooer,String.indexOf
4067624,391038681,387103609,5254251,1110250,3565
3027321,382031944,380377618,4833468,1045506,3165
3509926,381830308,383880756,4889669,1018021,3272
3334669,395140225,381968839,4792499,996868,3307
3967409,360793007,359441174,4870022,988125,3575
3789953,455536107,454025918,5762041,1176210,3499
3707434,376718889,362265472,4799815,958399,3584
3629537,391793329,390571366,4984521,988119,3447
3576277,395472532,396775923,5231151,1111165,3508
3441789,413353389,402828468,5045547,1013461,3436
5890309,688779087,685521251,8985077,2008242,6199
6438103,628416647,624899571,8534836,1913142,6415
5715612,714826232,669512884,8216406,1763653,5772
3176550,419743121,418332502,5161498,1020582,3234
3520753,350086865,350655437,4621168,899963,3135
3327325,396989995,399104734,4956440,1018561,3879
3420379,337673855,337584853,4631924,992975,3424
3422794,397949030,397725778,4870899,1019033,3365
3792886,371222631,373741410,4977464,1037766,3579
3495311,431164655,431504655,5430416,1066040,3505
3816853,460139554,456337152,5862906,1182323,3547
3519029,409953880,409181099,5167050,1053781,3561
4437702,492571975,467598238,5723569,1213470,4417
5575513,538320771,544889065,7113594,1588360,5818
7015360,784781701,755026154,9232383,1977396,5881
4870309,532585966,524965851,6655832,1403950,5157
4203536,456260311,457538975,5846356,1183301,3968
4166360,424372896,414732726,5291745,1064332,4001
3937937,502733150,489796417,6132007,1295980,4441
4246962,431113232,425252113,5610709,1251968,3732
3516960,423274975,426674002,5495337,1111063,4521
3855398,359439725,358030480,4867614,962198,3893
3232689,403756175,405096148,5080076,1115597,3253
4019346,406031439,406876467,5119541,1063222,3775
3407823,381053866,369552253,4734125,1002755,3507
3373956,340800258,336828484,4504817,948624,3066
4403943,347781595,346853093,5089056,1104755,3414
3232444,382135762,381448767,4875687,998136,3236
3192744,347808049,345057537,4432681,932687,3246
3291819,346759221,345664327,4629741,1049245,3306
3709183,422873015,424902714,5635612,1206318,3556
3287567,456230921,457711738,5547630,1140333,3493
3195922,375184119,375335248,4806576,965169,3355
3274720,423778207,428111560,5199000,1075584,3382
5071705,533726442,535289212,6693385,1427959,4862
6561839,630887212,622239444,8371501,1836450,5913
6586949,686840218,689893775,8509660,1700461,5678
5143381,537825342,534580641,6595149,1336915,4761
4201805,512132628,507071090,6483155,1338862,4452
4065692,467497679,454341883,5624012,1186726,3946
4402705,420226063,422882862,5477280,1144480,3895
3931345,464980534,461406066,5671989,1114885,3645
3648490,402859278,398740808,4981228,1016903,3714
3375168,384152069,381718883,4875402,1004977,3632
3582797,453021672,451415715,5526312,1124975,3677
4207604,463332253,440468839,6382823,1066213,3415
3815559,320046650,320877316,4739363,999219,3160
3900017,373599023,373087724,4941734,995821,3502
3947777,435307363,433690093,5709698,1197518,3438
3431712,430232195,428656106,5426658,1096686,3114
3982523,422068361,424950920,5522065,1104025,3581
2999476,402214629,375562721,4664662,977095,3591
3831481,481282344,476545265,5858047,1119252,3501
4014788,420381310,419481132,6390102,1138341,4364
3498261,427279744,424706698,5291130,1112634,3385
3679341,432986544,434805925,5348039,1062567,3381
3230085,386559660,386239286,4876910,1001421,3163
3548101,338193300,338533494,4619721,963727,3445
3643024,379344904,377296088,6169786,1060625,3073
3453673,370364310,373543386,4871417,1017225,3680
3464542,432989513,434860509,5515095,1185462,3536
3957337,443067363,444370223,5466698,1076248,3457
3773303,429406092,428178199,5512261,1166276,3402
3225974,431002352,421368308,5166434,1114549,3775
4860909,501971495,499873780,6417735,1324448,4686
6279266,706917782,710888946,9446502,2118478,6426
6505223,625016843,636013364,8380388,1926030,6170
4812993,566770104,547467078,7149146,1592995,4890
4330387,421381107,421786515,5349012,1097602,3712
4539796,493808053,459720220,5935706,1238984,3882
4713832,461963604,462088360,8117558,1218258,3886
4115460,411038961,408407254,6135604,1088907,3514
4147323,359499288,358107831,4913480,1044260,3425
4037348,437101091,435730306,5752259,1162506,3669
3608229,420223881,420942865,5365619,1148580,3793
3566196,388689806,384372489,5089019,1095953,3446
3673480,438597444,438890864,5452439,1054256,3818
3921488,442832539,441490370,5458432,2334630,3562
3201551,385681910,385745238,4889391,1002201,3254
3326296,397182276,395342465,5119814,1040962,3190
3384822,402884927,403257475,7705881,1017659,3176
3593137,387243563,379180392,4817862,1012259,3271
3780397,412375365,406816124,5348793,1168019,3468
3378019,386648717,382453392,5153751,1151112,3547
3997372,420809040,422988290,6259240,1104734,5726
3541078,378388257,383684730,4893003,1038226,3227
3406831,442179304,439212992,5359494,1111652,3816
3561728,378219310,378888335,6417473,1008705,3227
3785129,366170931,363799458,4805603,1010511,3224
3427992,408270791,405820717,4980996,1025051,3079
3905607,399460198,403361763,5301843,1118614,4086
3951841,493835339,493632282,5835223,1179496,3272
4130061,404155761,402626919,5406339,1128262,3801
3714166,503902796,503491508,6141415,1266696,3650
3353340,406787439,407839371,5017493,1012463,3322
3839179,409540197,402398946,5177551,1050736,3344
3018506,398625547,396712750,4810489,1001759,3089
3294316,334536106,332576182,4441194,974943,3155
3431446,392230918,378811214,4717479,982315,4761
3491794,429680113,422833140,6943877,1141339,5392
3669095,449658262,447450748,5594046,1191019,3743
3370255,343664942,342234691,4438016,951981,3370
4191737,412014713,412043900,5496600,1177552,3877
4364074,441194909,440862462,5985195,1187593,4098
5971769,701756755,720196503,9566665,2021397,5623
6200552,757484018,756735817,9391579,1971296,5973
5817708,685122987,685871164,9305983,1908734,6051
4006715,505116654,503186929,6596986,1279091,4364
4427470,472929328,462770999,5906879,1223081,4644
4380442,407356505,407166543,6995097,1346137,4254
4075371,424022893,420312166,5735380,1195715,3934
3668058,391586235,393238046,5074473,1077424,3573
4016212,540580905,534543358,6533338,1330249,3659
3594005,422401584,419701703,5162122,1117218,3648
