Naive, Randomized, KMP, Boyer-Mooer, String.indexOf
7666025,7713787,10249859,2281440,22064
8685289,8641203,11934960,2634994,24225
7637870,7654009,11881421,2468756,22541
8059375,8145619,11398981,2549774,23956
8692462,8585624,13079511,2787657,25042
8411659,8368434,11346448,2590861,24250
8150669,8157202,11213787,2495555,23357
8329228,8328662,11707859,2687030,24874
7998365,7872558,11482920,2660609,23795
8076940,8083627,11119206,2460802,23028
10220816,10147015,13216868,3092818,28539
8321866,8280172,11238211,2558077,24087
7612932,7540194,11807781,2403424,22316
8581145,8682300,12327339,2867182,25406
8989551,8909472,12802230,2908530,25183
8769243,8773326,12131745,3552863,24882
8123748,8040770,12349239,2650679,23655
8430386,8442012,12104219,2737169,24044
8745326,8715127,11776865,2657023,24441
8453539,8399582,11784193,2663029,24571
8644500,8702520,11663186,2635186,23424
7655079,7606233,11181597,2435544,21981
8793821,8685502,12235948,2849667,25086
8934185,11343015,12189598,2747895,24203
7873375,7776042,10995750,2466848,22180
8564500,8586502,13151900,2824337,24900
9627656,9615873,13127231,2922752,26542
7850582,7843149,11188469,2455934,22132
8285185,8258961,11626179,2568716,23000
8758044,8756973,12296234,2831105,24134
8730547,8710192,12359751,2785360,24807
8276182,8268832,11143947,2482371,22608
8003575,7929024,11841512,2646535,22423
8720746,8683674,13701403,2857926,24716
8525549,8507968,11740485,2606580,23421
9618226,9810238,12758875,2925691,25742
8311172,8320807,11287004,2493834,23141
8796124,8703839,12180724,2721695,24119
8845053,8800720,12613398,2792510,24224
7958361,8003054,11417081,2536336,22192
9199703,9105021,12793510,2929075,25319
9422579,9511856,12681195,2882795,25247
8924982,8935133,12433472,2752674,24712
9308611,9200696,12341757,2769190,24475
9274362,9294558,12462158,2667407,24882
8471550,8434163,11389790,2555383,22582
8631196,8579306,11835571,2685590,23266
8754347,8754353,11764756,2672119,23140
8140315,8154602,12480237,2676352,23394
8900462,8877113,12561789,2836918,24238
8761686,8689220,11886676,2663263,22836
8938103,8905113,12627330,2821602,24503
8606647,8540904,11978052,2657247,22914
8517285,8556644,12359257,2799685,23353
